Filter,Wav,Airmass,GLAO_G,GLAO_M,GLAO_B,NOAO_G,NOAO_M,NOAO_B
Y,1,1,0.4255,0.5599,0.7557,0.5479,0.6871,0.8803
J1,1.2,1,0.3892,0.5197,0.7103,0.5266,0.6618,0.8561
J2,1.4,1,0.3569,0.4831,0.6701,0.5076,0.639,0.8192
H1,1.6,1,0.3341,0.4496,0.6343,0.5007,0.6284,0.8045
H2,1.8,1,0.3171,0.4249,0.6021,0.4882,0.6183,0.7822
Ks,2,1,0.3039,0.4035,0.5728,0.4757,0.5954,0.7622
K1,2.2,1,0.2953,0.3863,0.5467,0.4666,0.5858,0.7446
K2,2.4,1,0.2904,0.3729,0.5264,0.4591,0.5731,0.7327
