Filter,Wav,Airmass,GLAO_G,GLAO_M,GLAO_B,NOAO_G,NOAO_M,NOAO_B
Y,1,1.5,0.57,0.73,0.96,0.7,0.87,1.1
J1,1.2,1.5,0.53,0.68,0.91,0.67,0.84,1.05
J2,1.4,1.5,0.49,0.65,0.87,0.65,0.82,1.02
H1,1.6,1.5,0.46,0.61,0.83,0.64,0.8,1
H2,1.8,1.5,0.43,0.57,0.79,0.62,0.77,0.97
Ks,2,1.5,0.41,0.55,0.76,0.61,0.76,0.95
K1,2.2,1.5,0.39,0.52,0.73,0.59,0.74,0.93
K2,2.4,1.5,0.38,0.5,0.7,0.58,0.72,0.91
